Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HTY_ADJ;Туркоманск.;;;;;;;;;;;;;
POR_fascist;Мовименту Насьонал-Синдикалиста;;;;;;;;;;;;;
IRE_fascist;Голубые рубашки;;;;;;;;;;;;;
IRE_communist;Коммунистическая партия Ирландии;;;;;;;;;;;;;
IRE_conservative;Консервативная партия Ирландии;;;;;;;;;;;;;
AST_fascist;Ньюве Гарде;;;;;;;;;;;;;
SGF_ADJ;Южно-немецк.;;;;;;;;;;;;;
alaskan;Аляскинский;;;;;;;;;;;;;
USA_conservative_2;Демократы;;;;;;;;;;;;;
USA_conservative_4;Демократическая партия;;;;;;;;;;;;;
USA_liberal;Республиканцы;;;;;;;;;;;;;
USA_liberal_4;Республиканская партия;;;;;;;;;;;;;
YUG_fascist;ЗБОР;;;;;;;;;;;;;
YUG_ADJ;Югославск.;;;;;;;;;;;;;
AUS_fascist;Отечественный фронт;;;;;;;;;;;;;
SWI_liberal;Свободно-демократическая партия;;;;;;;;;;;;;
GCO_communist;Коммунистическая партия;;;;;;;;;;;;;
GCO_fascist;Фашистская партия;;;;;;;;;;;;;
MNP;Манипур;;;;;;;;;;;;;
MNP_ADJ;Манипурск.;;;;;;;;;;;;;
BDK_absolute_monarchy;Кундуз;;;;;;;;;;;;;
BDK;Бадахшан;;;;;;;;;;;;;
BDK_ADJ;Бадахшанск.;;;;;;;;;;;;;
guajiro;Вайю;;;;;;;;;;;;;
lendu;Ленду;;;;;;;;;;;;;
ruanda;Баньяруанда;;;;;;;;;;;;;
kingwana;Кингвана;;;;;;;;;;;;;
chokwe;Чокве;;;;;;;;;;;;;
CNG;Конго;;;;;;;;;;;;;
CNG_absolute_monarchy;Государство-Свободное Конго;;;;;;;;;;;;;
CNG_presidential_dictatorship;Заир;;;;;;;;;;;;;
CNG_democracy;Республика Конго;;;;;;;;;;;;;
CNG_liberal_2;Альянс Баконго;;;;;;;;;;;;;
CNG_conservative_2;Конголезское национальное движение;;;;;;;;;;;;;
CNG_socialist;Партия африканской солидарности;;;;;;;;;;;;;
CNG_reactionary_2;Популярное движение революции;;;;;;;;;;;;;
CNG_anarcho_liberal;Общий фронт;;;;;;;;;;;;;
CNG_communist;Конголезский национальный союз;;;;;;;;;;;;;
CNG_fascist;Партия национального единства;;;;;;;;;;;;;
GEO_conservative;Демократиули Модзраоба;;;;;;;;;;;;;
GEO_liberal;Сакартвелос Республикури;;;;;;;;;;;;;
GEO_reactionary;Националури Модзраоба;;;;;;;;;;;;;
GEO_anarcho_liberal;Сакартвелос Гза;;;;;;;;;;;;;
GEO_socialist;Сакартвелос Лейбористули;;;;;;;;;;;;;
GEO_communist;Сакартвелос Комунистури;;;;;;;;;;;;;
GEO_fascist;Эровнули Социалистури;;;;;;;;;;;;;
scottish;Шотландский;;;;;;;;;;;;;
ITA_reactionary;Фационе Монархика;Restorationiste;Ristorazionista;;Restauracionistas;;;;;;;;;
ITA_conservative;Ла Дестра;;;;;;;;;;;;;
ITA_conservative_2;Партидо Либерале Итальяно;;;;;;;;;;;;;
ITA_conservative_3;Синистра Диссиденте;;;;;;;;;;;;;
ITA_liberal;Ла Синистра;;;;;;;;;;;;;
ITA_liberal_2;Партидо Репуббликано Итальяно;;;;;;;;;;;;;
ITA_socialist;Л'Эстрэма;;;;;;;;;;;;;
ITA_socialist_2;Партидо Социалиста Итальяно;;;;;;;;;;;;;
ITA_anarcho_liberal;Л'Эстрэма Либерале;;;;;;;;;;;;;
ITA_communist;Партидо Комуниста д'Италия;;;;;;;;;;;;;
ITA_fascist;Партидо Национале Фашиста;;;;;;;;;;;;;
PGG_reactionary;Джахрийя Менхуан;;;;;;;;;;;;;
PGG_liberal;Гайге Пай Ченьин;;;;;;;;;;;;;
PGG_conservative;Ка'ид Джами аль-Муслимин;;;;;;;;;;;;;
PGG_anarcho_liberal;Джиджин Дан;;;;;;;;;;;;;
PGG_socialist;Шехуидан;;;;;;;;;;;;;
PGG_communist;Гунчандан;;;;;;;;;;;;;
PGG_fascist;Фыкси Дан;;;;;;;;;;;;;
PGG;Пиннан Го;;;;;;;;;;;;;
PGG_ADJ;Хуй;;;;;;;;;;;;;
UKR_conservative;Украинская демократическая аграрная партия;;;;;;;;;;;;;
UKR_liberal;Украинская демократическая партия;;;;;;;;;;;;;
UKR_reactionary;Конгресс землевладельцев;;;;;;;;;;;;;
UKR_anarcho_liberal;Украинская радикальная партия;;;;;;;;;;;;;
UKR_socialist;Украинская социал-демократическая трудовая партия;;;;;;;;;;;;;
UKR_communist;Украинская коммунистическая партия;;;;;;;;;;;;;
UKR_fascist;Организация украинских националистов;;;;;;;;;;;;;
TUN;Тунис;;;;;;;;;;;;;
TUN_absolute_monarchy;Тунис;;;;;;;;;;;;;
TUN_prussian_constitutionalism;Тунис;;;;;;;;;;;;;
ALB_communist;Партия труда Албании;;;;;;;;;;;;;
ALB_fascist;Албанская фашистская партия;;;;;;;;;;;;;
ALB_conservative;Движение за легитимность;;;;;;;;;;;;;
AUS_communist;Коммунистическая партия Австрии;;;;;;;;;;;;;
BEL_liberal;Либеральная партия;;;;;;;;;;;;;
BEL_conservative;Католическая партия;;;;;;;;;;;;;
BEL_reactionary;Партия статистов;;;;;;;;;;;;;
BEL_anarcho_liberal;Либертарная партия;;;;;;;;;;;;;
BEL_socialist;Бельгийская рабочая партия;;;;;;;;;;;;;
BEL_conservative_2;Христианская народная партия;;;;;;;;;;;;;
BEL_conservative_3;Митинговая партия;;;;;;;;;;;;;
BEL_communist;Коммунистическая партия Бельгии;;;;;;;;;;;;;
BEL_fascist;Рексистская партия;;;;;;;;;;;;;
BUL_socialist;БРСДП;;;;;;;;;;;;;
BUL_liberal;Болгарский земледельческий народный союз;;;;;;;;;;;;;
BUL_anarcho_liberal;Радослависты;;;;;;;;;;;;;
BUL_communist;Болгарская коммунистическая партия;;;;;;;;;;;;;
BUL_conservative;Младолиберальная партия-Тончевисты;;;;;;;;;;;;;
CAN_socialist;Социалистическая партия Канады;;;;;;;;;;;;;
CAN_communist;Коммунистическая партия Канады;;;;;;;;;;;;;
CAN_conservative;Консервативная партия Канады;;;;;;;;;;;;;
CAN_reactionary;Тори;;;;;;;;;;;;;
CAN_liberal_1;Красная партия;;;;;;;;;;;;;
CAN_liberal_2;Либеральная партия Канады;;;;;;;;;;;;;
DAI;Вьетнам;;;;;;;;;;;;;
DAI_communist;Вьетнамская коммунистическая партия;;;;;;;;;;;;;
ENG_communist;Коммунистическая партия Дании;;;;;;;;;;;;;
ENG_conservative;Консервативная партия;;;;;;;;;;;;;
ENG_reactionary;Монархистская партия;;;;;;;;;;;;;
FIN_fascist;Патриотическое народное движение;;;;;;;;;;;;;
MEX_socialist;Мексиканская рабочая партия;;;;;;;;;;;;;
MEX_communist;Социалистическая рабочая партия;;;;;;;;;;;;;
MEX_fascist;Национальный синдикалистический союз;;;;;;;;;;;;;
NET_conservative;Антиреволюционная партия;;;;;;;;;;;;;
HOL_socialist_1;Социал-демократическое объединение;;;;;;;;;;;;;
HOL_socialist_2;Социал-демократический союз;;;;;;;;;;;;;
HOL_socialist_3;Социал-демократическая рабочая партия;;;;;;;;;;;;;
HOL_fascist;Союз актуалистов;;;;;;;;;;;;;
POR_socialist;Португальская социалистическая партия;;;;;;;;;;;;;
POR_communist;Португальская коммунистическая партия;;;;;;;;;;;;;
RUS_fascist;Всероссийская фашистская партия;;;;;;;;;;;;;
SER_reactionary;Национальная партия;;;;;;;;;;;;;
SER_communist;Сербская социалдемократическая партия;;;;;;;;;;;;;
SER_fascist;Народная защита;;;;;;;;;;;;;
SER_conservative;Уставобранители;;;;;;;;;;;;;
SER_conservative_2;Консервативная партия;;;;;;;;;;;;;
SER_conservative_3;Сербская прогрессивная партия;;;;;;;;;;;;;
SER_socialist;Самостоятельная радикальная партия;;;;;;;;;;;;;
SER_liberal;Либеральная партия;;;;;;;;;;;;;
SER_liberal_2;Народная радикальная партия;;;;;;;;;;;;;
SER_anarcho_liberal;Анархо-либеральная партия;;;;;;;;;;;;;
GRE_communist;Коммунистическая партия Греции;;;;;;;;;;;;;
GRE_socialist;Социалистическая партия Греции;;;;;;;;;;;;;
GRE_fascist;Этники Эносис Элладос;;;;;;;;;;;;;
GRE_anarcho_liberal;Этникон Ризоспастикон Кэмма;;;;;;;;;;;;;
GRE_reactionary;Кэмма тон Напаон;;;;;;;;;;;;;
GRE_conservative;Синтагматики Кэмма;;;;;;;;;;;;;
GRE_conservative_2;Кэмма Этникэфронон;;;;;;;;;;;;;
GRE_liberal;Этники Кэмма;;;;;;;;;;;;;
GRE_liberal_2;Неотеристикон Кэмма;;;;;;;;;;;;;
USA_socialist;Партия рабочих;;;;;;;;;;;;;
USA_communist;Коммунистическая партия США;;;;;;;;;;;;;
USA_fascist;Серебряный легион Америки;;;;;;;;;;;;;
YUG_reactionary;Югославская национальная партия;;;;;;;;;;;;;
YUG_liberal;Самостоятельная демократическая партия;;;;;;;;;;;;;
YUG_anarcho_liberal;Народная радикальная партия;;;;;;;;;;;;;
YUG_communist;Коммунистическая партия Югославии;;;;;;;;;;;;;
YUG_socialist;Социалистическая рабочая партия Югославии;;;;;;;;;;;;x ;
YUG_conservative;Югославская демократическая партия;;;;;;;;;;;;;
NMB;Намибия;;;;;;;;;;;;;
NMB_ADJ;Намибийск.;;;;;;;;;;;;;
NMB_liberal;Республиканская партия;;;;;;;;;;;;;
NMB_conservative;NUDO;;;;;;;;;;;;;
NMB_socialist;SWANU;;;;;;;;;;;;;
NMB_reactionary;NAPDO;;;;;;;;;;;;;
NMB_anarcho_liberal;Борцы за экономическую свободу;;;;;;;;;;;;;
NMB_communist;SWAPO;;;;;;;;;;;;;
NMB_fascist;Движение патриотического союза;;;;;;;;;;;;;
SLG;Селангор;;;;;;;;;;;;;
SLG_ADJ;Селангорск.;;;;;;;;;;;;;
PRK;Перак;;;;;;;;;;;;;
PRK_ADJ;Перакск.;;;;;;;;;;;;;
PHG;Паханг;;;;;;;;;;;;;
PHG_ADJ;Пахангск.;;;;;;;;;;;;;
SGM;Зигмаринген;;;;;;;;;;;;;
SGM_ADJ;Зигмарингенск.;;;;;;;;;;;;;
FRO;Фарерские острова;;;;;;;;;;;;;
FRO_ADJ;Фарерск.;;;;;;;;;;;;;
FRO_liberal;Sj�lvst�risflokkurin;;;;;;;;;;;;;
FRO_conservative;Sambandsflokkurin;;;;;;;;;;;;;
FRO_reactionary;Hin F�royski Flokkurin;;;;;;;;;;;;;
FRO_socialist;Javna�arflokkurin;;;;;;;;;;;;;
FRO_anarcho_liberal;Vinnuflokkurin;;;;;;;;;;;;;
FRO_communist;Коммунистическая партия Фарерских островов;;;;;;;;;;;;;
FRO_fascist;Loysingarflokkurin;;;;;;;;;;;;;
RUS_proletarian_dictatorship;Советский Союз;;;;;;;;;;;;;
UBD_fascist;Балтийский фашистский союз;;;;;;;;;;;;;
UBD_communist;Балтийская коммунистическая партия;;;;;;;;;;;;;
UBD_socialist;Союз балтийских рабочих и социалистов;;;;;;;;;;;;;
UBD_socialist_2;Балтийская рабочая партия;;;;;;;;;;;;;
UBD_anarcho_liberals;Радикальная партия;;;;;;;;;;;;;
UBD_liberal_2;Всебалтийский ландтаг;;;;;;;;;;;;;
UBD_liberal;Прогрессивный союз;;;;;;;;;;;;;
UBD_conservative_2;Союз землевладельцев и фермеров;;;;;;;;;;;;;
UBD_reactionary;Королевская фракция;;;;;;;;;;;;;
UBD_conservative;Немецкий ландтаг;;;;;;;;;;;;;
EST_fascist;Vabaduss�jalased;;;;;;;;;;;;;
EST_communist;Эстонская коммунистическая партия;;;;;;;;;;;;;
EST_socialist;Эстонская социалистическая рабочая партия;;;;;;;;;;;;;
EST_socialist_2;Эстонская рабочая партия;;;;;;;;;;;;;
EST_anarcho_liberal;Радикально-демократическая партия;;;;;;;;;;;;;
EST_liberal;Партия поселенцев;;;;;;;;;;;;;
EST_conservative;Сообщество фермеров;;;;;;;;;;;;;
EST_conservative_2;Христианская народная партия;;;;;;;;;;;;;
EST_reactionary;Эстонская королевская партия;;;;;;;;;;;;;
EST_reactionary_2;Isamaaliit;;;;;;;;;;;;;
LIV_fascist;Perkonkrusts;;;;;;;;;;;;;
LIV_communist;Латвийская коммунистическая партия;;;;;;;;;;;;;
LIV_socialist_2;Mazinieki;;;;;;;;;;;;;
LIV_socialist;LSDSP;;;;;;;;;;;;;
LIV_anarcho_liberal;Латвийская радикально-демократическая партия;;;;;;;;;;;;;
LIV_liberal_2;Партия Blodnieka;;;;;;;;;;;;;
LIV_liberal;Демократический центр;;;;;;;;;;;;;
LIV_conservative_2;Христианская партия крестьян и католиков;;;;;;;;;;;;;
LIV_conservative;Латвийское крестьянское объединение;;;;;;;;;;;;;
LIV_reactionary_2;Национальное объединение;;;;;;;;;;;;;
LIV_reactionary;Партия роялистов;;;;;;;;;;;;;
HBY;Хобё;;;;;;;;;;;;;
HBY_ADJ;Сомалийск.;;;;;;;;;;;;;
QAT;Катар;;;;;;;;;;;;;
QAT_ADJ;Катарский;;;;;;;;;;;;;
LIT_reactionary;Фракция монархизма;;;;;;;;;;;;;
LIT_reactionary_2;Союз литовских националистов;;;;;;;;;;;;;
LIT_conservative;Литовская рабочая федерация;;;;;;;;;;;;;
LIT_conservative_2;LKDP;;;;;;;;;;;;;
LIT_anarcho_liberal;Партия народного прогресса;;;;;;;;;;;;;
LIT_liberal;Литовская демократическая партия;;;;;;;;;;;;;
LIT_liberal_2;Союз литовских крестьян-народников;;;;;;;;;;;;;
LIT_socialist;Литовская социалистическая демократическая партия;;;;;;;;;;;;;
LIT_communist;Литовская коммунистическая партия;;;;;;;;;;;;;
LIT_fascist;Литовский союз стрелков;;;;;;;;;;;;;
KAR;Карен;;;;;;;;;;;;;
KAR_ADJ;Каренск.;;;;;;;;;;;;;
BRY;Бурятия;;;;;;;;;;;;;
BRY_ADJ;Бурятск.;;;;;;;;;;;;;
BRY_conservative;Королевская фракция;;;;;;;;;;;;;
BRY_liberal;Либеральная фракция;;;;;;;;;;;;;
BRY_reactionary;Националистическая фракция;;;;;;;;;;;;;
BRY_anarcho_liberal;Радикальная фракция;;;;;;;;;;;;;
BRY_socialist;Социалистическая фракция;;;;;;;;;;;;;
BRY_communist;Коммунистическая фракция;;;;;;;;;;;;;
BRY_fascist;Фашистская фракция;;;;;;;;;;;;;
MLD;Мальдивы;;;;;;;;;;;;;
MLD_ADJ;Мальдивск.;;;;;;;;;;;;;
PAK;Пакистан;;;;;;;;;;;;;
PAK_ADJ;Пакистанск.;;;;;;;;;;;;;
PAK_conservative;Джамаат-е-Ислами Пакистан;;;;;;;;;;;;;
PAK_liberal;Пакистанское движение за справедливость;;;;;;;;;;;;;
PAK_liberal_2;Муттахида Кауми;;;;;;;;;;;;;
PAK_anarcho_liberal;Национальный народный;;;;;;;;;;;;;
PAK_socialist;Пакистанское народное движение;;;;;;;;;;;;;
PAK_socialist_2;Всепакистанское крестьянское;;;;;;;;;;;;;
PAK_communist;Пакистанская народная партия;;;;;;;;;;;;;
PAK_fascist;Джамаат Ахле Суннат;;;;;;;;;;;;;
PAK_reactionary;Джамият Улема-е-Ислам;;;;;;;;;;;;;
CRL;Читрал;;;;;;;;;;;;;
CRL_ADJ;Читрали;;;;;;;;;;;;;
MSS;Самос;;;;;;;;;;;;;
MSS_ADJ;Греческ.;;;;;;;;;;;;;
RDL;Ардалан;;;;;;;;;;;;;
RDL_ADJ;Ардалани;;;;;;;;;;;;;
BTL;Битлис;;;;;;;;;;;;;
BTL_ADJ;Битлиси;;;;;;;;;;;;;
BNB;Бабан;;;;;;;;;;;;;
BNB_ADJ;Бабани;;;;;;;;;;;;;
BDN;Хаккари;;;;;;;;;;;;;
BDN_ADJ;Хаккари;;;;;;;;;;;;;
MKN;Мукриян;;;;;;;;;;;;;
MKN_ADJ;Мукрияни;;;;;;;;;;;;;
BHT;Бохтан;;;;;;;;;;;;;
BHT_ADJ;Бохтани;;;;;;;;;;;;;
SRN;Соран;;;;;;;;;;;;;
SRN_ADJ;Сорани;;;;;;;;;;;;;
QUE;Бендейкланд;;;;;;;;;;;;;
QUE_ADJ;Бендейк;;;;;;;;;;;;;
LIB_conservative;Республиканская партия;;;;;;;;;;;;;
LIB_conservative_2;Демократическая партия;;;;;;;;;;;;;
LIB_liberal;Партия истинных вигов;;;;;;;;;;;;;
LIB_liberal_2;Панафриканская партия;;;;;;;;;;;;;
LIB_socialist;Африканская революционная партия;;;;;;;;;;;;;
LIB_reactionary;Националистическая партия;;;;;;;;;;;;;
LIB_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
LIB_communist;Коммунистическая партия;;;;;;;;;;;;;
LIB_fascist;Фашистская партия;;;;;;;;;;;;;
BAY_reactionary;Фракция ультрамонтанизма;;;;;;;;;;;;;
BHP;Бахавалпур;;;;;;;;;;;;;
BHP_ADJ;Пенджабск.;;;;;;;;;;;;;
WEI;Саксония-Веймар;;;;;;;;;;;;;
ENG_fascist_dictatorship;Союз Британии;;;;;;;;;;;;;
ENG_democracy;Британское Содружество;;;;;;;;;;;;;
ENG_presidential_dictatorship;Британское Содружество;;;;;;;;;;;;;
ENG_bourgeois_dictatorship;Британское Содружество;;;;;;;;;;;;;
shilluk;Шиллюк;;;;;;;;;;;;;
PBC;Перу-Боливия;;;;;;;;;;;;;
PBC_absolute_monarchy;Великое Перу;;;;;;;;;;;;;
PBC_prussian_constitutionalism;Великое Перу;;;;;;;;;;;;;
PBC_hms_government;Перу-Боливия;;;;;;;;;;;;;
PBC_proletarian_dictatorship;Народная Андская Республика;;;;;;;;;;;;;
PBC_proletarian_dictatorship_ADJ;Андская;;;;;;;;;;;;;
PBC_democracy;Андская Федерация;;;;;;;;;;;;;
PBC_democracy_ADJ;Андская;;;;;;;;;;;;;
PBC_ADJ;Андская;;;;;;;;;;;;;
YNN_reactionary_2;Конфуцианский Туси;;;;;;;;;;;;;
YNN_liberal_2;Западнизирующий Туси;;;;;;;;;;;;;
YNN_conservative_2;Местный Туси;;;;;;;;;;;;;
XIN_reactionary_2;Конфуцианская Фракция;;;;;;;;;;;;;
XIN_conservative_2;Фракция Амбан;;;;;;;;;;;;;
XIN_liberal_2;Фракция Реформаторов;;;;;;;;;;;;;
KOR;Корея;;;;;;;;;;;;;
KOR_absolute_monarchy;Королевство Чосон;;;;;;;;;;;;;
KOR_proletarian_dictatorship;КНДР;;;;;;;;;;;;;
KOR_reactionary;Бандонг;;;;;;;;;;;;;
KOR_liberal;Тхэвонгун;;;;;;;;;;;;;
KOR_liberal_2;Сонгёнгван;;;;;;;;;;;;;
KOR_conservative;Тон Хак;;;;;;;;;;;;;
KOR_liberal_3;Сильхак;;;;;;;;;;;;;
KOR_anarcho_liberal;Кыбчжинпа;;;;;;;;;;;;;
KOR_conservative_2;Ванданпа;;;;;;;;;;;;;
KOR_socialist;Сахоэ-тан;;;;;;;;;;;;;
KOR_communist;Чосон Консантан;;;;;;;;;;;;;
KOR_fascist;Пасисыту Пати;;;;;;;;;;;;;
MCK;Маньчжурия;;;;;;;;;;;;;
MCK_fascist_dictatorship;Маньчжоуго;;;;;;;;;;;;;
MCK_presidential_dictatorship;Клика Фэнтьянь;;;;;;;;;;;;;
MCK_ADJ;Маньчжу;;;;;;;;;;;;;
MCK_presidential_dictatorship_ADJ;Фэнтьянь;;;;;;;;;;;;;
BRZ_monarchy;Империя Веспуччия;;;;;;;;;;;;;
SIA_absolute_monarchy;Королевство Раттанакосин;;;;;;;;;;;;;
KML;Ханство Кумул;;;;;;;;;;;;;
KML_democracy;Республика Кумул;;;;;;;;;;;;;
KML_bourgeois_dictatorship;Кумул;;;;;;;;;;;;;
KML_proletarian_dictatorship;Народная Республика Кумул;;;;;;;;;;;;;
KML_ADJ;Кумульск.;;;;;;;;;;;;;
KML_conservative;Фракция Шаха Кумул;;;;;;;;;;;;;
KML_liberal;Реформаторы Кумул;;;;;;;;;;;;;
KML_reactionary;Фундаменталисты Кумул;;;;;;;;;;;;;
KML_anarcho_liberal;Либертарианцы Кумул;;;;;;;;;;;;;
KML_socialist;Социалисты Кумул;;;;;;;;;;;;;
KML_communist;Народная партия Кумул;;;;;;;;;;;;;
KML_fascist;Национальный фронт Кумул;;;;;;;;;;;;;
PROV2281;Эсмеральдас;;;;;;;;;;;;;
PROV1363;Паксе;;;;;;;;;;;;;
PROV1364;Пномпень;;;;;;;;;;;;;
PROV1464;Холо;;;;;;;;;;;;;
ATJ;Ачех;;;;;;;;;;;;;
ATJ_ADJ;Ачехск.;;;;;;;;;;;;;
JOH;Джохор;;;;;;;;;;;;;
UCA;Центральная Америка;;;;;;;;;;;;;
UCA_absolute_monarchy;Королевство Центральной Америки;;;;;;;;;;;;;
UCA_prussian_constitutionalism;Королевство Центральной Америки;;;;;;;;;;;;;
UCA_hms_government;Королевство Центральной Америки;;;;;;;;;;;;;
UCA_democracy;Центральная Америка;;;;;;;;;;;;;
UCA_proletarian_dictatorship;Центральная Америка;;;;;;;;;;;;;
UCA_ADJ;Центральноамериканск.;;;;;;;;;;;;;
LHJ;Лахедж;;;;;;;;;;;;;
LHJ_ADJ;Лахеджск.;;;;;;;;;;;;;
FDL;Фадли;;;;;;;;;;;;;
FDL_ADJ;Фадлийск.;;;;;;;;;;;;;
KTH;Катири;;;;;;;;;;;;;
KTH_ADJ;Катирийск.;;;;;;;;;;;;;
MHR;Махра;;;;;;;;;;;;;
MHR_ADJ;Махрайск.;;;;;;;;;;;;;
SBA;Буэнос-Айрес;;;;;;;;;;;;;
SBA_ADJ;Портеньо;;;;;;;;;;;;;
BRZ_absolute_monarchy;Империя Веспуции;;;;;;;;;;;;;
BRZ_prussian_constitutionalism;Империя Веспуции;;;;;;;;;;;;;
BRZ_hms_government;Империя Веспуции;;;;;;;;;;;;;
ARC;Аргентина;;;;;;;;;;;;;
ARC_democracy;Аргентинская Конфедерация;;;;;;;;;;;;;
ARC_presidential_dictatorship;Аргентинская Конфедерация;;;;;;;;;;;;;
ARC_proletarian_dictatorship;Коммунистическая Федерация Аргентины;;;;;;;;;;;;;
ARC_ADJ;Аргентинск.;;;;;;;;;;;;;
CRT;Корриентес;;;;;;;;;;;;;
CRT_ADJ;Энтрерриано;;;;;;;;;;;;;
DMW;Адамава;;;;;;;;;;;;;
DMW_ADJ;Адамаванск.;;;;;;;;;;;;;
BRM;Багирми;;;;;;;;;;;;;
BRM_ADJ;Багирми;;;;;;;;;;;;;
SHK;Шиллюк;;;;;;;;;;;;;
SHK_ADJ;Шиллюкск.;;;;;;;;;;;;;
SHK_conservative;Фракция Шиллюк Подх;;;;;;;;;;;;;
SHK_liberal;Фракция Реформаторов;;;;;;;;;;;;;
SHK_reactionary;Фракция Королевского Святого;;;;;;;;;;;;;
SHK_anarcho_liberal;Либертарианский фронт Шиллюк;;;;;;;;;;;;;
SHK_socialist;Социалистический фронт Шиллюк;;;;;;;;;;;;;
SHK_communist;Народный фронт Шиллюк;;;;;;;;;;;;;
SHK_fascist;Национальный фронт Шиллюк;;;;;;;;;;;;;
MUG_absolute_monarchy;Могольская империя;;;;;;;;;;;;;
MUG_prussian_constitutionalism;Могольская империя;;;;;;;;;;;;;
MUG_fascist_dictatorship;Республика Гуркани;;;;;;;;;;;;;
MUG_proletarian_dictatorship;Народная Республика Мугалистан;;;;;;;;;;;;;
MUG_conservative;Мир Саман;;;;;;;;;;;;;
MUG_liberal;Ханафи;;;;;;;;;;;;;
MUG_reactionary;Мир Бакши;;;;;;;;;;;;;
