Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
send_pleasantries_to_great_power_title;Показать уважение к Великой Державе;;;;;;;;;;;;;
send_pleasantries_to_great_power_desc;Если мы когда-либо надеемся обеспечить безопасность нашей нации от иностранной агрессии, нам следует найти союзников в мире. Могущественных союзников. Великих держав. Отправив делегацию с типичными подарками, комплиментами и любезностями $COUNTRY_ADJ$ великой державе, мы сможем приобрести их расположение, и они могут стать ключевым союзником в будущем $COUNTRY$.;;;;;;;;;;;;;
rename_the_congo_desc;Свободное государство Конго было подтверждено как личная собственность $COUNTRY_ADJ$ $MONARCHTITLE$, поэтому справедливо и разумно, что мы теперь исследуем этот регион и, возможно, оставим там свой след?;;;;;;;;;;;;;
conscript_fishermen_title;Призвать рыбаков в ВМС;;;;;;;;;;;;;
conscript_fishermen_desc;$COUNTRY$ не нуждается в постоянно действующем флоте. Когда наступит время, мы сможем построить несколько кораблей, призвать торговые и рыболовные суда и вооружить их пушками. Это время наступило, и настало время для народа $COUNTRY_ADJ$ встать на защиту своей страны.;;;;;;;;;;;;;
unlock_crisis_in_1870_title;Вариант: Разблокировать кризис в 1870 году;;;;;;;;;;;;;
unlock_crisis_in_1870_desc;Старым стандартом HPM было разблокировать кризис, как только кто-то исследовал Революцию и контрреволюцию. В последних версиях это изменилось, чтобы избежать Великих Войн во время борьбы за Африку. Если вы предпочитаете старое правило, этот вариант вернет это правило обратно.;;;;;;;;;;;;;
pick_AI_personality_title;Личность $COUNTRY_ADJ$ $MONARCHTITLE$;;;;;;;;;;;;;
pick_AI_personality_desc;У $COUNTRY_ADJ$ $MONARCHTITLE$ имеет сильную личность...;;;;;;;;;;;;;
take_eisenstadt_title;Восстановить Эйзенштадт;;;;;;;;;;;;;
take_eisenstadt_desc;Эйзенштадт является частью Австрии - и снова будет ею.;;;;;;;;;;;;;
south_tirol_compromise_title;Проведите конвенцию по вопросу Южного Тироля;;;;;;;;;;;;;
south_tirol_compromise_desc;Южный Тироль традиционно разделен на преимущественно немецкоязычную северную часть и преимущественно итальянскую южную часть, с меньшинствами в обоих провинциях. Это стало большой причиной напряжения с нашими немецкими соседями, которую некоторые в $CAPITAL$ стремятся решить. Мы можем пригласить наших соседей на конвент, целью которого является поиск решений этой проблемы - хотя конвент не гарантирует результатов, это лучший шанс урегулировать этот вопрос мирным путём.;;;;;;;;;;;;;
turn_canada_french_title;Французская Канада;;;;;;;;;;;;;
turn_canada_french_desc;Канада находится под нашим владычеством, и франко-канадцы снова являются частью $COUNTRY$. Им следует занимать руководящие должности в Канаде, чтобы устранить англоязычное влияние.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,, ;
start_propaganda_title;Начать кампанию пропаганды;;;;;;;;;;;;;
start_propaganda_desc;«Тот, кто хочет убедить, должен полагаться не на правильный аргумент, а на правильное слово. Сила звука всегда была больше силы смысла».�\nВстреча в $CAPITAL$ с высокопоставленными представителями правительства $COUNTRY_ADJ$ предложила пропагандистскую кампанию для увеличения популярной поддержки усилий правительства $COUNTRY_ADJ$. Мы можем выбрать, чтобы усилить наши военные усилия или укрепить правительство. Однако нет гарантированных результатов, так как наш маркетинг может неудачно сработать и даже обратиться против нас. Если, конечно, пресс контролируется государством...;;;;;;;;;;;;;
call_allies_cleanup_title;Вызовите союзников для уборки;;;;;;;;;;;;;
call_allies_cleanup_desc;Это убирает флаг, когда достигается мир. Раньше это было событием.;;;;;;;;;;;;;
dissolve_the_upper_house_title;Распустите верхнюю палату.;;;;;;;;;;;;;
dissolve_the_upper_house_desc;Верховная исполнительная власть в государстве $COUNTRY_ADJ$ исходит из $CAPITAL$, через образ представителя монарха $COUNTRY_ADJ$. Абсолютный монарх является окончательным авторитетом по всем вопросам государства, но бюрократия и армия являются опорой абсолютистского правительства. К тому же, землевладельческая аристократия, которая часто выступает в роли бюрократии, ожидает и получает позиции власти в правительстве, назначаемые монархом. Это необходимо для нормального функционирования государства $COUNTRY_ADJ$ - аристократы являются генерал-губернаторами, придворными советниками, высшими чиновниками, министрами, судьями и исполнителями решений монарха. Для этих функций существуют несколько правительственных учреждений и населены земельной знатью - Комитет Министров $COUNTRY$, Правление Сената, Государственный Совет. Они помогают разрабатывать и применять законы, управлять внешней и внутренней политикой, планировать войны и управлять армией, советовать монарху и осуществлять правосудие. Монарх все еще может и имеет последнее слово по всем этим вопросам, и это его королевское прерогатива распустить назначенных аристократов и выбирать новых. Принятие такого шага - фактическое роспуск верхней палаты парламента и назначение новых министров - позволяет $COUNTRY_ADJ$ монарху окружить себя льстецами и мелкой знатью, готовыми делать все то, что он от них хочет - по крайней мере на время. Это нарушение несказанного соглашения между монархом и бюрократией, между монархом и аристократией приведет к последствиям - помимо выявления внутренних разладов в правительстве перед интернациональным сообществом оно обязательно вызовет гнев дворянства и распределит конфликты по всем слоям правительства.
intern_african_diaspora_cultures_title;Статья 3: Интернирование африканской диаспоры;;;;;;;;;;;;;
intern_african_diaspora_cultures_desc;"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение людей из африканской диаспоры - то есть афро-американцев, афро-карибов, афро-латиносов, афро-бразильцев, антильских и креольских национальностей - от остального населения. В первую очередь это будет достигаться путем регистрации и введения соответствующих мер по контролю за населением. Все права свободы для представителей этой группы будут отменены. Они будут помещены в лагеря интернирования и одновременно разделены по полу. Эти лагеря интернирования могут быть под наблюдением собственного самоуправления представителей этой группы с участием африканских чиновников. Охрана границ между лагерями интернирования и внешним миром является обязанностью полиции."\n\n�YДобавляет 3 очка к шкале "замедление". Начиная с 4 очков, каждые 2 очка будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_central_african_title;Статья 3: Центральноафриканское интернирование;;;;;;;;;;;;;
intern_central_african_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из Центральной Африки - а именно, баконго, багирми, фанг, канури, бакуба, луба, лунда, ленду, кингвана, чокве, каванго-кимбунду, монго, сара-багирми, тубу, убанги, северных банту и центральных банту �W- от остального населения. В осуществлении этой цели первым делом стоит захват африканского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу африканцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного африканского самоуправления с африканскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 3 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_east_african_title;Статья 3: Восточноафриканское интернирование;;;;;;;;;;;;;
intern_east_african_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из Восточной Африки - а именно, амхары, афар, азанде, баганда, беджа, динка, фур, харари, кеффичо, кикуйу, луо, календжин-маасаи, нуэр, нуба, оромо, баньяруанда, сомали, сукума, суахили, тигрей, уньямвези, киломберо, северных банту, кушитик и нилотик �W- от остального населения. В осуществлении этой цели первым делом стоит захват африканского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу африканцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного африканского самоуправления с африканскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 3 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_southern_african_title;Статья 3: Южноафриканское интернирование;;;;;;;;;;;;;
intern_southern_african_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из Южной Африки - а именно, чева, ньяса, хереро, хойсан, макуа, малагаси, нгуни, южных банту, овимбунду, сена, шона, тонга, яо-маконде, хоса, цвана и зулу �W- от остального населения. В осуществлении этой цели первым делом стоит захват африканского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу африканцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного африканского самоуправления с африканскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 3 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
interning_finnougric_people_title;Статья 3: Интернирование финно-угорских народов;;;;;;;;;;;;;
interning_finnougric_people_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение народов �Yфинно-угорских - а именно, финнов, саамов и угорцев �W- от остального населения. В осуществлении этой цели первым делом стоит захват финно-угорского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу финно-угорцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного финно-угорского самоуправления с финно-угорскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 1 балл к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_west_african_title;Статья 3: Западноафриканское интернирование;;;;;;;;;;;;;
intern_west_african_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из Западной Африки - а именно, акан, бамбара, дюла, эдо, эве, фон, фульбе, хауса, иджо, игбо, кру, манде, западных нигритянцев, мосси, фур, сенуфо, сонгай, банту, туарег, волоф, йоруба и ква �W- от остального населения. В осуществлении этой цели первым делом стоит захват африканского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу африканцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного африканского самоуправления с африканскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 3 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_pan_albanian_title;Статья 3: Албанское интернирование;;;;;;;;;;;;;
intern_pan_albanian_desc;�W"Первоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение �Yалбанцев�W от остального населения. В осуществлении этой цели первым делом стоит захват албанского населения путем введения регистрационного приказа и подобных соответствующих мер. Все права на свободу албанцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного албанского самоуправления с албанскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 1 балл к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_arab_title;Статья 3: Арабское интернирование;;;;;;;;;;;;;
intern_arab_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �Yарабов - а именно, из магриби, мисри, машрики, бедуинов, берберов, мавров и суданцев �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват арабского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу арабов должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного арабского самоуправления с арабскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 3 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_central_asian_title;Статья 3: Центральноазиатское интернирование;;;;;;;;;;;;;
intern_central_asian_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YЦентральной Азии - а именно, монголов, сибиряков, якутов, тибетцев и непальцев �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват азиатского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу азиатцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного азиатского самоуправления с азиатскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 2 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_east_asian_title;Статья 3: Восточноазиатское интернирование;;;;;;;;;;;;;
intern_east_asian_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YВосточной Азии - а именно, маньчжуров, бейфарен, нанфарен, хакка, мяо, мин, чжуан, и и �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват азиатского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу азиатцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного азиатского самоуправления с азиатскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 8 баллов к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_far_east_asian_title;Статья 3: Интернирование народов Дальнего Востока;;;;;;;;;;;;;
intern_far_east_asian_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YДальнего Востока - а именно, японцев, корейцев и айну �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват азиатского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу азиатцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного азиатского самоуправления с азиатскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 6 баллов к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_south_asian_title;Статья 3: Интернирование народов Индии;;;;;;;;;;;;;
intern_south_asian_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YИндии - а именно, ассамцев, бихари, манипури, ория, сингалов, авадхи, канауджи, кашмирцев, гуджаратцев, маратхов, раджпутов, каннадов, малаяламов, тамилов и телугу �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват индийского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу для индийцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного индийского самоуправления с индийскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 8 баллов к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_southeast_asian_title;Статья 3: Интернирование народов Юго-Восточной Азии;;;;;;;;;;;;;
intern_southeast_asian_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YЮго-Восточной Азии - а именно, вьетнамцев, кхмеров, малайцев, яванцев, филиппинцев, молуккцев, таиландцев, лаосцев, шанов, бирманцев, качинцев, каренцев и других азиатов малых национальностей �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват азиатского населения путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу азиатцев должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного азиатского самоуправления с азиатскими чиновниками. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет баллов к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_baltic_title;Статья 3: Интернирование народов Прибалтики;;;;;;;;;;;;;
intern_baltic_desc;�WПервоочередной целью мер $COUNTRY_ADJ$ должно быть строгое разделение населения из �YПрибалтики - а именно, литовцев, латышей и эстонцев �W- от остального населения. Для выполнения этой цели в первую очередь предполагается захват населения Прибалтики путем введения приказа о регистрации и подобных соответствующих мер. Все права на свободу для прибалтов должны быть отозваны. Их следует помещать в интернированные лагеря и, в то же время, разделять по половому признаку. Эти интернированные лагеря могут быть помещены под наблюдение собственного самоуправления Прибалтики с участием прибалтийских чиновников. Однако обязанность по охране границ между интернированными лагерями и внешним миром лежит на полиции."\n\n�YДобавляет 2 балла к шкале "замедления". Начиная с 4 баллов, каждые 2 балла будут уменьшать скорость на 20%.;;;;;;;;;;;;;
intern_beneluxian_title;Статья 3: Интернирование народов Бенилюкса;;;;;;;;;;;;;
intern_beneluxian_desc;�WОсновная цель мероприятий $COUNTRY_ADJ$ должна заключаться в строгом разделении народов из региона �YБенилюкс, а именно голландцев, фламандцев и валлонцев �W, от остального населения. Во внедрении этой политики первым делом стоит конфискация населения Бенилюкса путем введения регистрационного приказа и подобных мер. Все права на свободу для населения Бенилюкса должны быть аннулированы. Они должны быть помещены в лагеря интернирования и одновременно разделены по половому признаку. Эти лагеря интернирования могут быть возложены под надзор собственного правительства Бенилюкса с участием бенилюкских чиновников. Охрана границ между лагерями интернирования и внешним миром, однако, лежит на плечах полиции."\n\n�YДобавляет 2 очка к шкале "замедления". Начиная с 4 очков, каждые 2 очка будут снижать скорость на 20%.;;;;;;;;;;;;;
intern_british_title;Статья 3: Британские интернирования;;;;;;;;;;;;;
intern_british_desc;�WОсновной целью мероприятий $COUNTRY_ADJ$ должно быть строгое разделение народов из региона �YБританские острова, а именно британцев, ирландцев и шотландцев �W, от остального населения. Во внедрении этой политики первым делом стоит конфискация населения Британских островов путем введения регистрационного приказа и подобных мер. Все права на свободу для британцев должны быть аннулированы. Они должны быть помещены в лагеря интернирования и одновременно разделены по половому признаку. Эти лагеря интернирования могут быть возложены под надзор собственного правительства Британских островов с участием британских чиновников. Охрана границ между лагерями интернирования и внешним миром, однако, лежит на плечах полиции."\n\n�YДобавляет 4 очка к шкале "замедления". Начиная с 4 очков, каждые 2 очка будут снижать скорость на 20%.;;;;;;;;;;;;;
intern_caucasian_title;Статья 3: Кавказские интернирования;;;;;;;;;;;;;
